Seed,Scenario,Augmentation,Model,Class,Precision,Recall,F1-Score,Support,TotalSamples
1674292617,Test2,None,XGB-10ep-s1674292617,BENIGN,0.9994003597841296,1.0,0.9997000899730081,15000.0,50000
1674292617,Test2,None,XGB-10ep-s1674292617,DoS Slowhttptest,0.9969678593086719,0.9963636363636363,0.9966656562594726,1650.0,5499
1674292617,Test2,None,XGB-10ep-s1674292617,DoS slowloris,0.9971114962449451,0.99252443933295,0.9948126801152738,1739.0,5796
1674292617,Test2,None,MLP-15ep-s1674292617,BENIGN,0.972102365719387,0.8711333333333333,0.9188524013782434,15000.0,50000
1674292617,Test2,None,MLP-15ep-s1674292617,DoS Slowhttptest,0.6429906542056075,0.833939393939394,0.7261213720316623,1650.0,5499
1674292617,Test2,None,MLP-15ep-s1674292617,DoS slowloris,0.507659422871393,0.81943645773433,0.6269247690277167,1739.0,5796
1674292617,Test2,None,LogReg-15ep-s1674292617,BENIGN,0.9970612356478951,0.9726,0.9846787257019438,15000.0,50000
1674292617,Test2,None,LogReg-15ep-s1674292617,DoS Slowhttptest,0.8602550478214666,0.9812121212121212,0.9167610419026048,1650.0,5499
1674292617,Test2,None,LogReg-15ep-s1674292617,DoS slowloris,0.8693333333333333,0.9373202990224266,0.9020475926950747,1739.0,5796
1674292617,Test2,None,RF-15ep-s1674292617,BENIGN,0.9992005329780147,0.9998666666666667,0.9995334888370543,15000.0,50000
1674292617,Test2,None,RF-15ep-s1674292617,DoS Slowhttptest,0.9963614311704063,0.9957575757575757,0.9960594119430131,1650.0,5499
1674292617,Test2,None,RF-15ep-s1674292617,DoS slowloris,0.9965317919075144,0.9913743530764807,0.9939463822427212,1739.0,5796
1674292617,Test2,None,XGB-15ep-s1674292617,BENIGN,0.9994003597841296,1.0,0.9997000899730081,15000.0,50000
1674292617,Test2,None,XGB-15ep-s1674292617,DoS Slowhttptest,0.9969678593086719,0.9963636363636363,0.9966656562594726,1650.0,5499
1674292617,Test2,None,XGB-15ep-s1674292617,DoS slowloris,0.9971114962449451,0.99252443933295,0.9948126801152738,1739.0,5796
1674292617,Test2,None,MLP-20ep-s1674292617,BENIGN,0.9568574023614895,0.9832666666666666,0.9698822910501743,15000.0,50000
1674292617,Test2,None,MLP-20ep-s1674292617,DoS Slowhttptest,0.8146341463414634,0.9109090909090909,0.8600858369098713,1650.0,5499
1674292617,Test2,None,MLP-20ep-s1674292617,DoS slowloris,0.9265486725663716,0.6020701552616446,0.7298710352039038,1739.0,5796
1674292617,Test2,None,LogReg-20ep-s1674292617,BENIGN,0.9992482744481651,0.9748,0.9868727432254581,15000.0,50000
1674292617,Test2,None,LogReg-20ep-s1674292617,DoS Slowhttptest,0.8704803022126282,0.9775757575757575,0.9209249214958607,1650.0,5499
1674292617,Test2,None,LogReg-20ep-s1674292617,DoS slowloris,0.8670520231213873,0.948821161587119,0.9060955518945635,1739.0,5796
1674292617,Test2,None,RF-20ep-s1674292617,BENIGN,0.9992005329780147,0.9998666666666667,0.9995334888370543,15000.0,50000
1674292617,Test2,None,RF-20ep-s1674292617,DoS Slowhttptest,0.9963614311704063,0.9957575757575757,0.9960594119430131,1650.0,5499
1674292617,Test2,None,RF-20ep-s1674292617,DoS slowloris,0.9965317919075144,0.9913743530764807,0.9939463822427212,1739.0,5796
1674292617,Test2,None,XGB-20ep-s1674292617,BENIGN,0.9994003597841296,1.0,0.9997000899730081,15000.0,50000
1674292617,Test2,None,XGB-20ep-s1674292617,DoS Slowhttptest,0.9969678593086719,0.9963636363636363,0.9966656562594726,1650.0,5499
1674292617,Test2,None,XGB-20ep-s1674292617,DoS slowloris,0.9971114962449451,0.99252443933295,0.9948126801152738,1739.0,5796
1674292617,Test2,None,MLP-25ep-s1674292617,BENIGN,0.9513082322910019,0.9938,0.9720899902184545,15000.0,50000
1674292617,Test2,None,MLP-25ep-s1674292617,DoS Slowhttptest,0.877105427323768,0.8521212121212122,0.8644328312327083,1650.0,5499
1674292617,Test2,None,MLP-25ep-s1674292617,DoS slowloris,0.9166666666666666,0.5882691201840138,0.7166374781085815,1739.0,5796
1674292617,Test2,None,LogReg-25ep-s1674292617,BENIGN,0.9994522048753766,0.9730666666666666,0.9860829617619241,15000.0,50000
1674292617,Test2,None,LogReg-25ep-s1674292617,DoS Slowhttptest,0.8700808625336928,0.9781818181818182,0.9209700427960057,1650.0,5499
1674292617,Test2,None,LogReg-25ep-s1674292617,DoS slowloris,0.8725388601036269,0.968372627947096,0.9179612973562279,1739.0,5796
1674292617,Test2,None,RF-25ep-s1674292617,BENIGN,0.9992005329780147,0.9998666666666667,0.9995334888370543,15000.0,50000
