Seed,Scenario,Augmentation,Model,ActualClass,Pred_BENIGN,Pred_DoS Slowhttptest,Pred_DoS slowloris
1674292617,Test2,None,XGB-30ep-s1674292617,DoS slowloris,8,5,1726
1674292617,Test2,None,MLP-50ep-s1674292617,BENIGN,14738,25,237
1674292617,Test2,None,MLP-50ep-s1674292617,DoS Slowhttptest,148,1363,139
1674292617,Test2,None,MLP-50ep-s1674292617,DoS slowloris,75,57,1607
1674292617,Test2,None,LogReg-50ep-s1674292617,BENIGN,14706,148,146
1674292617,Test2,None,LogReg-50ep-s1674292617,DoS Slowhttptest,4,1633,13
1674292617,Test2,None,LogReg-50ep-s1674292617,DoS slowloris,7,43,1689
1674292617,Test2,None,RF-50ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,None,RF-50ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,None,RF-50ep-s1674292617,DoS slowloris,10,5,1724
1674292617,Test2,None,XGB-50ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,None,XGB-50ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,None,XGB-50ep-s1674292617,DoS slowloris,8,5,1726
1674292617,Test2,None,MLP-100ep-s1674292617,BENIGN,14768,59,173
1674292617,Test2,None,MLP-100ep-s1674292617,DoS Slowhttptest,64,1584,2
1674292617,Test2,None,MLP-100ep-s1674292617,DoS slowloris,110,563,1066
1674292617,Test2,None,LogReg-100ep-s1674292617,BENIGN,14731,122,147
1674292617,Test2,None,LogReg-100ep-s1674292617,DoS Slowhttptest,5,1634,11
1674292617,Test2,None,LogReg-100ep-s1674292617,DoS slowloris,7,44,1688
1674292617,Test2,None,RF-100ep-s1674292617,BENIGN,14998,1,1
1674292617,Test2,None,RF-100ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,None,RF-100ep-s1674292617,DoS slowloris,10,5,1724
1674292617,Test2,None,XGB-100ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,None,XGB-100ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,None,XGB-100ep-s1674292617,DoS slowloris,8,5,1726
1674292617,Test2,SMOTENC,MLP-1ep-s1674292617,BENIGN,12288,1983,729
1674292617,Test2,SMOTENC,MLP-1ep-s1674292617,DoS Slowhttptest,168,1135,347
1674292617,Test2,SMOTENC,MLP-1ep-s1674292617,DoS slowloris,268,76,1395
1674292617,Test2,SMOTENC,LogReg-1ep-s1674292617,BENIGN,12976,988,1036
1674292617,Test2,SMOTENC,LogReg-1ep-s1674292617,DoS Slowhttptest,173,1122,355
1674292617,Test2,SMOTENC,LogReg-1ep-s1674292617,DoS slowloris,755,42,942
1674292617,Test2,SMOTENC,RF-1ep-s1674292617,BENIGN,14997,2,1
1674292617,Test2,SMOTENC,RF-1ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,SMOTENC,RF-1ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,SMOTENC,XGB-1ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,SMOTENC,XGB-1ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,SMOTENC,XGB-1ep-s1674292617,DoS slowloris,9,6,1724
1674292617,Test2,SMOTENC,MLP-2ep-s1674292617,BENIGN,13420,1044,536
1674292617,Test2,SMOTENC,MLP-2ep-s1674292617,DoS Slowhttptest,217,1410,23
1674292617,Test2,SMOTENC,MLP-2ep-s1674292617,DoS slowloris,261,324,1154
1674292617,Test2,SMOTENC,LogReg-2ep-s1674292617,BENIGN,12570,1252,1178
1674292617,Test2,SMOTENC,LogReg-2ep-s1674292617,DoS Slowhttptest,138,1389,123
1674292617,Test2,SMOTENC,LogReg-2ep-s1674292617,DoS slowloris,101,107,1531
1674292617,Test2,SMOTENC,RF-2ep-s1674292617,BENIGN,14997,2,1
1674292617,Test2,SMOTENC,RF-2ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,SMOTENC,RF-2ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,SMOTENC,XGB-2ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,SMOTENC,XGB-2ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,SMOTENC,XGB-2ep-s1674292617,DoS slowloris,9,6,1724
1674292617,Test2,SMOTENC,MLP-3ep-s1674292617,BENIGN,12522,2202,276
1674292617,Test2,SMOTENC,MLP-3ep-s1674292617,DoS Slowhttptest,227,1303,120
1674292617,Test2,SMOTENC,MLP-3ep-s1674292617,DoS slowloris,568,95,1076
1674292617,Test2,SMOTENC,LogReg-3ep-s1674292617,BENIGN,12532,975,1493
1674292617,Test2,SMOTENC,LogReg-3ep-s1674292617,DoS Slowhttptest,119,1371,160
1674292617,Test2,SMOTENC,LogReg-3ep-s1674292617,DoS slowloris,33,115,1591
1674292617,Test2,SMOTENC,RF-3ep-s1674292617,BENIGN,14997,2,1
1674292617,Test2,SMOTENC,RF-3ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,SMOTENC,RF-3ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,SMOTENC,XGB-3ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,SMOTENC,XGB-3ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,SMOTENC,XGB-3ep-s1674292617,DoS slowloris,9,6,1724
1674292617,Test2,SMOTENC,MLP-5ep-s1674292617,BENIGN,14613,97,290
1674292617,Test2,SMOTENC,MLP-5ep-s1674292617,DoS Slowhttptest,216,1323,111
1674292617,Test2,SMOTENC,MLP-5ep-s1674292617,DoS slowloris,574,79,1086
1674292617,Test2,SMOTENC,LogReg-5ep-s1674292617,BENIGN,12410,622,1968
1674292617,Test2,SMOTENC,LogReg-5ep-s1674292617,DoS Slowhttptest,6,1445,199
1674292617,Test2,SMOTENC,LogReg-5ep-s1674292617,DoS slowloris,4,110,1625
1674292617,Test2,SMOTENC,RF-5ep-s1674292617,BENIGN,14997,2,1
1674292617,Test2,SMOTENC,RF-5ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,SMOTENC,RF-5ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,SMOTENC,XGB-5ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,SMOTENC,XGB-5ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,SMOTENC,XGB-5ep-s1674292617,DoS slowloris,9,6,1724
1674292617,Test2,SMOTENC,MLP-10ep-s1674292617,BENIGN,14832,47,121
1674292617,Test2,SMOTENC,MLP-10ep-s1674292617,DoS Slowhttptest,257,1311,82
1674292617,Test2,SMOTENC,MLP-10ep-s1674292617,DoS slowloris,589,578,572
1674292617,Test2,SMOTENC,LogReg-10ep-s1674292617,BENIGN,14192,201,607
1674292617,Test2,SMOTENC,LogReg-10ep-s1674292617,DoS Slowhttptest,63,1472,115
1674292617,Test2,SMOTENC,LogReg-10ep-s1674292617,DoS slowloris,13,104,1622
1674292617,Test2,SMOTENC,RF-10ep-s1674292617,BENIGN,14997,2,1
1674292617,Test2,SMOTENC,RF-10ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,SMOTENC,RF-10ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,SMOTENC,XGB-10ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,SMOTENC,XGB-10ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,SMOTENC,XGB-10ep-s1674292617,DoS slowloris,9,6,1724
1674292617,Test2,SMOTENC,MLP-15ep-s1674292617,BENIGN,14811,123,66
1674292617,Test2,SMOTENC,MLP-15ep-s1674292617,DoS Slowhttptest,154,1486,10
1674292617,Test2,SMOTENC,MLP-15ep-s1674292617,DoS slowloris,567,148,1024
1674292617,Test2,SMOTENC,LogReg-15ep-s1674292617,BENIGN,14597,182,221
1674292617,Test2,SMOTENC,LogReg-15ep-s1674292617,DoS Slowhttptest,7,1619,24
1674292617,Test2,SMOTENC,LogReg-15ep-s1674292617,DoS slowloris,36,58,1645
1674292617,Test2,SMOTENC,RF-15ep-s1674292617,BENIGN,14997,2,1
1674292617,Test2,SMOTENC,RF-15ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,SMOTENC,RF-15ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,SMOTENC,XGB-15ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,SMOTENC,XGB-15ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,SMOTENC,XGB-15ep-s1674292617,DoS slowloris,9,6,1724
1674292617,Test2,SMOTENC,MLP-20ep-s1674292617,BENIGN,14411,191,398
1674292617,Test2,SMOTENC,MLP-20ep-s1674292617,DoS Slowhttptest,127,1406,117
1674292617,Test2,SMOTENC,MLP-20ep-s1674292617,DoS slowloris,228,91,1420
1674292617,Test2,SMOTENC,LogReg-20ep-s1674292617,BENIGN,14600,171,229
1674292617,Test2,SMOTENC,LogReg-20ep-s1674292617,DoS Slowhttptest,2,1610,38
1674292617,Test2,SMOTENC,LogReg-20ep-s1674292617,DoS slowloris,9,87,1643
1674292617,Test2,SMOTENC,RF-20ep-s1674292617,BENIGN,14997,2,1
1674292617,Test2,SMOTENC,RF-20ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,SMOTENC,RF-20ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,SMOTENC,XGB-20ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,SMOTENC,XGB-20ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,SMOTENC,XGB-20ep-s1674292617,DoS slowloris,9,6,1724
1674292617,Test2,SMOTENC,MLP-25ep-s1674292617,BENIGN,14334,113,553
1674292617,Test2,SMOTENC,MLP-25ep-s1674292617,DoS Slowhttptest,37,1243,370
1674292617,Test2,SMOTENC,MLP-25ep-s1674292617,DoS slowloris,216,11,1512
1674292617,Test2,SMOTENC,LogReg-25ep-s1674292617,BENIGN,14608,153,239
1674292617,Test2,SMOTENC,LogReg-25ep-s1674292617,DoS Slowhttptest,3,1628,19
1674292617,Test2,SMOTENC,LogReg-25ep-s1674292617,DoS slowloris,6,74,1659
1674292617,Test2,SMOTENC,RF-25ep-s1674292617,BENIGN,14997,2,1
1674292617,Test2,SMOTENC,RF-25ep-s1674292617,DoS Slowhttptest,2,1643,5
1674292617,Test2,SMOTENC,RF-25ep-s1674292617,DoS slowloris,9,5,1725
1674292617,Test2,SMOTENC,XGB-25ep-s1674292617,BENIGN,15000,0,0
1674292617,Test2,SMOTENC,XGB-25ep-s1674292617,DoS Slowhttptest,1,1644,5
1674292617,Test2,SMOTENC,XGB-25ep-s1674292617,DoS slowloris,9,6,1724
