Scenario,Augmentation,Model,Class,Precision,Recall,F1-Score,Support,TotalSamples
Test2,CVAE,RF-100ep-avg,DoS slowloris,0.9960281744954802,0.9945370902817711,0.9952807675260354,1739.0,5796.0
Test2,CVAE,RF-10ep-avg,BENIGN,0.9993404032172594,0.9997933333333334,0.9995667823966885,15000.0,50000.0
Test2,CVAE,RF-10ep-avg,DoS Slowhttptest,0.995813365372209,0.9932727272727273,0.9945375040456031,1650.0,5499.0
Test2,CVAE,RF-10ep-avg,DoS slowloris,0.9960281744954802,0.9945370902817711,0.9952807675260354,1739.0,5796.0
Test2,CVAE,RF-15ep-avg,BENIGN,0.9993404032172594,0.9997933333333334,0.9995667823966885,15000.0,50000.0
Test2,CVAE,RF-15ep-avg,DoS Slowhttptest,0.995813365372209,0.9932727272727273,0.9945375040456031,1650.0,5499.0
Test2,CVAE,RF-15ep-avg,DoS slowloris,0.9960281744954802,0.9945370902817711,0.9952807675260354,1739.0,5796.0
Test2,CVAE,RF-1ep-avg,BENIGN,0.9993404032172594,0.9997933333333334,0.9995667823966885,15000.0,50000.0
Test2,CVAE,RF-1ep-avg,DoS Slowhttptest,0.995813365372209,0.9932727272727273,0.9945375040456031,1650.0,5499.0
Test2,CVAE,RF-1ep-avg,DoS slowloris,0.9960281744954802,0.9945370902817711,0.9952807675260354,1739.0,5796.0
Test2,CVAE,RF-20ep-avg,BENIGN,0.9993404032172594,0.9997933333333334,0.9995667823966885,15000.0,50000.0
Test2,CVAE,RF-20ep-avg,DoS Slowhttptest,0.995813365372209,0.9932727272727273,0.9945375040456031,1650.0,5499.0
Test2,CVAE,RF-20ep-avg,DoS slowloris,0.9960281744954802,0.9945370902817711,0.9952807675260354,1739.0,5796.0
Test2,CVAE,RF-25ep-avg,BENIGN,0.9993404032172594,0.9997933333333334,0.9995667823966885,15000.0,50000.0
Test2,CVAE,RF-25ep-avg,DoS Slowhttptest,0.995813365372209,0.9932727272727273,0.9945375040456031,1650.0,5499.0
Test2,CVAE,RF-25ep-avg,DoS slowloris,0.9960281744954802,0.9945370902817711,0.9952807675260354,1739.0,5796.0
Test2,CVAE,RF-2ep-avg,BENIGN,0.9993404032172594,0.9997933333333334,0.9995667823966885,15000.0,50000.0
Test2,CVAE,RF-2ep-avg,DoS Slowhttptest,0.995813365372209,0.9932727272727273,0.9945375040456031,1650.0,5499.0
Test2,CVAE,RF-2ep-avg,DoS slowloris,0.9960281744954802,0.9945370902817711,0.9952807675260354,1739.0,5796.0
Test2,CVAE,RF-30ep-avg,BENIGN,0.9993404032172594,0.9997933333333334,0.9995667823966885,15000.0,50000.0
Test2,CVAE,RF-30ep-avg,DoS Slowhttptest,0.995813365372209,0.9932727272727273,0.9945375040456031,1650.0,5499.0
Test2,CVAE,RF-30ep-avg,DoS slowloris,0.9960281744954802,0.9945370902817711,0.9952807675260354,1739.0,5796.0
Test2,CVAE,RF-3ep-avg,BENIGN,0.9993404032172594,0.9997933333333334,0.9995667823966885,15000.0,50000.0
Test2,CVAE,RF-3ep-avg,DoS Slowhttptest,0.995813365372209,0.9932727272727273,0.9945375040456031,1650.0,5499.0
Test2,CVAE,RF-3ep-avg,DoS slowloris,0.9960281744954802,0.9945370902817711,0.9952807675260354,1739.0,5796.0
Test2,CVAE,RF-50ep-avg,BENIGN,0.9993404032172594,0.9997933333333334,0.9995667823966885,15000.0,50000.0
Test2,CVAE,RF-50ep-avg,DoS Slowhttptest,0.995813365372209,0.9932727272727273,0.9945375040456031,1650.0,5499.0
Test2,CVAE,RF-50ep-avg,DoS slowloris,0.9960281744954802,0.9945370902817711,0.9952807675260354,1739.0,5796.0
Test2,CVAE,RF-5ep-avg,BENIGN,0.9993404032172594,0.9997933333333334,0.9995667823966885,15000.0,50000.0
Test2,CVAE,RF-5ep-avg,DoS Slowhttptest,0.995813365372209,0.9932727272727273,0.9945375040456031,1650.0,5499.0
Test2,CVAE,RF-5ep-avg,DoS slowloris,0.9960281744954802,0.9945370902817711,0.9952807675260354,1739.0,5796.0
Test2,CVAE,XGB-100ep-avg,BENIGN,0.9996334945479193,0.9998733333333334,0.999753373540295,15000.0,50000.0
Test2,CVAE,XGB-100ep-avg,DoS Slowhttptest,0.9970236983713063,0.9946060606060605,0.9958122359789388,1650.0,5499.0
Test2,CVAE,XGB-100ep-avg,DoS slowloris,0.9951747283518628,0.9953996549741231,0.9952854800622148,1739.0,5796.0
Test2,CVAE,XGB-10ep-avg,BENIGN,0.9996334945479193,0.9998733333333334,0.999753373540295,15000.0,50000.0
Test2,CVAE,XGB-10ep-avg,DoS Slowhttptest,0.9970236983713063,0.9946060606060605,0.9958122359789388,1650.0,5499.0
Test2,CVAE,XGB-10ep-avg,DoS slowloris,0.9951747283518628,0.9953996549741231,0.9952854800622148,1739.0,5796.0
Test2,CVAE,XGB-15ep-avg,BENIGN,0.9996334945479193,0.9998733333333334,0.999753373540295,15000.0,50000.0
Test2,CVAE,XGB-15ep-avg,DoS Slowhttptest,0.9970236983713063,0.9946060606060605,0.9958122359789388,1650.0,5499.0
Test2,CVAE,XGB-15ep-avg,DoS slowloris,0.9951747283518628,0.9953996549741231,0.9952854800622148,1739.0,5796.0
Test2,CVAE,XGB-1ep-avg,BENIGN,0.9996334945479193,0.9998733333333334,0.999753373540295,15000.0,50000.0
Test2,CVAE,XGB-1ep-avg,DoS Slowhttptest,0.9970236983713063,0.9946060606060605,0.9958122359789388,1650.0,5499.0
Test2,CVAE,XGB-1ep-avg,DoS slowloris,0.9951747283518628,0.9953996549741231,0.9952854800622148,1739.0,5796.0
Test2,CVAE,XGB-20ep-avg,BENIGN,0.9996334945479193,0.9998733333333334,0.999753373540295,15000.0,50000.0
Test2,CVAE,XGB-20ep-avg,DoS Slowhttptest,0.9970236983713063,0.9946060606060605,0.9958122359789388,1650.0,5499.0
Test2,CVAE,XGB-20ep-avg,DoS slowloris,0.9951747283518628,0.9953996549741231,0.9952854800622148,1739.0,5796.0
